Cache-adaptive  CONSTANT memory,10,2000,16702.9,146649088,100696064,247345152
Cache-non-adaptive  CONSTANT memory,10,2000,20078.2,269312000,310272000,579584000
Cache-non-adaptive  WORST-CASE memory,10,2000,22608.5,288641024,322953216,611594240
Cache-non-adaptive  WORST-CASE but replay,10,2000,19974.6,250703872,295055360,545759232
Cache-adaptive  WORST-CASE memory,10,2000,17190.8,138706944,87719936,226426880
Cache-adaptive  CONSTANT memory,10,2000,16911.2,151490560,107294720,258785280
Cache-non-adaptive  CONSTANT memory,10,2000,19877.5,264192000,303943680,568135680
Cache-non-adaptive  WORST-CASE memory,10,2000,22135.2,297324544,330510336,627834880
Cache-non-adaptive  WORST-CASE but replay,10,2000,19324.1,252723200,294449152,547172352
Cache-adaptive  WORST-CASE memory,10,2000,16323.8,139120640,87334912,226455552
Cache-adaptive  CONSTANT memory,10,2000,16402.9,146980864,95408128,242388992
Cache-non-adaptive  CONSTANT memory,10,2000,19827.2,268902400,310878208,579780608
Cache-non-adaptive  WORST-CASE memory,10,2000,23217.8,294387712,326926336,621314048
Cache-non-adaptive  WORST-CASE but replay,10,2000,20357.3,243134464,272609280,515743744
Cache-adaptive  WORST-CASE memory,10,2000,16624.2,135852032,87142400,222994432
Cache-adaptive  CONSTANT memory,10,4000,132550,1173946368,778407936,1952354304
Cache-non-adaptive  CONSTANT memory,10,4000,165839,2333605888,2599145472,4932751360
Cache-non-adaptive  WORST-CASE memory,10,4000,201243,3006275584,2989850624,5996126208
Cache-non-adaptive  WORST-CASE but replay,10,4000,154891,1938042880,2116444160,4054487040
Cache-adaptive  WORST-CASE memory,10,4000,128447,1007935488,616476672,1624412160
Cache-adaptive  CONSTANT memory,10,4000,135652,1205456896,801677312,2007134208
Cache-non-adaptive  CONSTANT memory,10,4000,166348,2380185600,2623426560,5003612160
Cache-non-adaptive  WORST-CASE memory,10,4000,209337,3126681600,3053764608,6180446208
Cache-non-adaptive  WORST-CASE but replay,10,4000,156181,2009239552,2192863232,4202102784
Cache-adaptive  WORST-CASE memory,10,4000,128226,1062060032,643813376,1705873408
Cache-adaptive  CONSTANT memory,10,4000,131450,1169678336,781352960,1951031296
Cache-non-adaptive  CONSTANT memory,10,4000,165722,2288283648,2563981312,4852264960
Cache-non-adaptive  WORST-CASE memory,10,4000,200601,2967834624,2981003264,5948837888
Cache-non-adaptive  WORST-CASE but replay,10,4000,155341,1956278272,2167824384,4124102656
Cache-adaptive  WORST-CASE memory,10,4000,128053,1043030016,625381376,1668411392
Cache-adaptive  CONSTANT memory,10,6000,449404,4221112320,2885447680,7106560000
Cache-non-adaptive  CONSTANT memory,10,6000,580160,8883843072,9266790400,18150633472
Cache-non-adaptive  WORST-CASE memory,10,6000,707105,11822579712,11283423232,23106002944
Cache-non-adaptive  WORST-CASE but replay,10,6000,450488,4012793856,4863537152,8876331008
Cache-adaptive  WORST-CASE memory,10,6000,408991,2200313856,1441288192,3641602048
Cache-adaptive  CONSTANT memory,10,6000,454380,4290613248,2903089152,7193702400
Cache-non-adaptive  CONSTANT memory,10,6000,585826,8688152576,9178451968,17866604544
Cache-non-adaptive  WORST-CASE memory,10,6000,690370,11494727680,11200192512,22694920192
Cache-non-adaptive  WORST-CASE but replay,10,6000,445644,4052541440,4928438272,8980979712
Cache-adaptive  WORST-CASE memory,10,6000,407788,2162782208,1430163456,3592945664
Cache-adaptive  CONSTANT memory,10,6000,455878,4234797056,2875961344,7110758400
Cache-non-adaptive  CONSTANT memory,10,6000,579481,8964259840,9381203968,18345463808
Cache-non-adaptive  WORST-CASE memory,10,6000,697062,11493224448,11245019136,22738243584
Cache-non-adaptive  WORST-CASE but replay,10,6000,444843,4006735872,4927012864,8933748736
Cache-adaptive  WORST-CASE memory,10,6000,406057,2205835264,1466314752,3672150016
Cache-adaptive  CONSTANT memory,10,8000,1.07427e+06,10375454720,6378790912,16754245632
Cache-non-adaptive  CONSTANT memory,10,8000,1.50271e+06,22254985216,23598571520,45853556736
Cache-non-adaptive  WORST-CASE memory,10,8000,2.46225e+06,45738381312,32419315712,78157697024
Cache-non-adaptive  WORST-CASE but replay,10,8000,1.31608e+06,17727021056,18881896448,36608917504
Cache-adaptive  WORST-CASE memory,10,8000,1.03937e+06,8847876096,5415432192,14263308288
Cache-adaptive  CONSTANT memory,10,8000,1.08402e+06,10314149888,6334644224,16648794112
Cache-non-adaptive  CONSTANT memory,10,8000,1.48855e+06,21856948224,23169908736,45026856960
Cache-non-adaptive  WORST-CASE memory,10,8000,2.68153e+06,51790692352,33150566400,84941258752
Cache-non-adaptive  WORST-CASE but replay,10,8000,1.33252e+06,17964138496,19113467904,37077606400
Cache-adaptive  WORST-CASE memory,10,8000,1.03219e+06,8807690240,5423714304,14231404544
